Department,gender,HSC,SSC,Income,Hometown,Computer,test preparation course,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,school,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,11,11,GP,19,U,GT3,T,1,2,other,services,course,other,1,2,1,no,no,no,no,yes,yes,no,4,5,2,2,2,4,3
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,10,11,GP,19,U,LE3,T,3,2,services,other,reputation,other,2,2,1,no,yes,yes,no,yes,yes,yes,4,2,2,1,2,1,22
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,15,13,13,GP,19,U,GT3,T,1,1,at_home,health,home,other,1,3,2,no,no,no,no,yes,yes,yes,4,1,2,1,1,3,14
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,11,11,GP,19,R,GT3,T,2,3,other,other,reputation,other,1,3,1,no,no,no,yes,yes,yes,yes,4,1,2,1,1,3,40
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,8,0,GP,18,U,GT3,T,2,1,services,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,2,1,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,9,10,9,GP,18,U,GT3,T,4,3,other,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,3,4,1,1,5,9
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,11,10,GP,17,R,GT3,T,3,4,at_home,services,course,father,1,3,0,no,yes,yes,no,yes,yes,no,4,3,4,2,5,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,11,11,GP,18,U,GT3,T,4,4,teacher,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,4,4,3,3,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,13,13,GP,17,U,GT3,A,4,3,services,services,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,5,2,2,1,2,5,23
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,9,9,GP,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,no,yes,4,2,2,1,1,3,12
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,11,11,GP,17,R,LE3,T,2,2,services,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,no,3,3,2,2,2,3,3
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,14,15,GP,17,U,GT3,T,3,1,services,services,course,father,1,3,0,no,yes,no,no,yes,yes,no,3,4,3,2,3,5,1
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,16,15,15,GP,17,U,LE3,T,0,2,at_home,at_home,home,father,2,3,0,no,no,no,yes,yes,yes,no,3,3,3,2,3,2,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,9,12,11,GP,18,U,GT3,T,4,4,other,other,course,mother,1,3,0,no,no,no,yes,yes,yes,no,4,3,3,2,2,3,3
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,15,16,GP,17,U,GT3,T,3,3,other,services,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,4,3,5,3,5,5,3
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,10,10,GP,17,R,GT3,T,2,2,services,other,course,mother,4,1,0,no,yes,no,yes,yes,yes,no,4,4,5,5,5,4,8
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,9,9,GP,17,U,GT3,T,4,4,teacher,services,course,mother,1,3,0,no,yes,yes,yes,yes,yes,no,5,4,4,1,3,4,7
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,14,14,14,GP,17,U,GT3,T,4,4,teacher,teacher,course,mother,2,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,2,4,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,9,8,8,GP,18,U,LE3,T,2,2,other,other,course,mother,1,4,0,no,yes,no,yes,yes,yes,no,4,5,5,2,4,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,14,14,GP,17,R,GT3,T,2,4,at_home,other,course,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,5,7
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,7,0,0,GP,18,U,GT3,T,3,3,services,services,home,mother,1,2,0,no,no,no,yes,yes,yes,no,5,3,4,1,1,4,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,8,0,GP,18,U,LE3,T,2,2,other,other,home,other,1,2,0,no,no,no,no,yes,yes,yes,4,3,3,1,1,2,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,9,0,GP,18,R,GT3,T,2,2,at_home,other,course,mother,2,4,0,no,no,no,yes,yes,no,no,4,4,4,1,1,4,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,16,15,15,GP,17,U,GT3,T,3,4,services,other,course,mother,1,3,0,no,no,no,yes,yes,yes,no,4,4,5,1,3,5,16
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,14,13,13,GP,19,R,GT3,A,3,1,services,at_home,home,other,1,3,1,no,no,yes,yes,yes,no,no,5,4,3,1,2,5,12
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,8,0,GP,17,U,GT3,T,3,2,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,2,3,2,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,16,15,17,GP,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,1,7
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,9,10,10,GP,17,R,GT3,A,3,2,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,2,3,2,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,12,11,GP,19,U,GT3,T,2,1,services,services,home,other,1,3,1,no,no,yes,yes,yes,yes,yes,4,3,4,1,3,3,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,10,0,GP,18,U,GT3,T,4,4,teacher,services,home,father,1,2,1,no,yes,no,yes,yes,yes,no,4,3,3,2,2,2,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,16,15,15,GP,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,4,3,3,1,3,5,11
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,9,8,0,GP,17,U,GT3,A,2,2,at_home,at_home,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,3,3,1,1,2,4,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,10,10,GP,18,U,GT3,T,2,3,at_home,other,course,mother,1,3,0,no,yes,no,yes,yes,yes,no,4,3,3,1,2,3,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,13,14,GP,18,U,GT3,T,3,2,other,services,other,mother,1,3,0,no,no,no,yes,yes,yes,yes,5,4,3,2,3,1,7
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,16,15,16,GP,18,R,GT3,T,4,3,teacher,services,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,5,3,2,1,2,4,9
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,10,9,GP,18,U,GT3,T,4,3,teacher,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,5,2,3,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,15,15,GP,17,U,GT3,T,4,3,health,other,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,4,3,1,3,4,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,13,13,MS,18,R,GT3,T,3,2,other,other,course,mother,2,1,1,no,yes,no,no,yes,yes,no,2,5,5,5,5,5,10
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,7,8,MS,19,R,GT3,T,1,1,other,services,home,other,3,2,3,no,no,no,yes,yes,yes,no,5,4,4,3,3,2,8
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,13,13,MS,17,U,GT3,T,3,3,health,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,no,4,5,4,2,3,3,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,7,8,MS,18,U,LE3,T,1,3,at_home,services,course,mother,1,1,1,no,no,no,yes,no,yes,yes,4,3,3,2,3,3,7
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,8,8,MS,19,R,GT3,T,1,1,other,other,home,other,3,1,1,no,yes,no,yes,yes,yes,no,4,4,4,3,3,5,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,11,11,MS,17,R,GT3,T,4,3,services,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,9,9,MS,18,U,GT3,T,3,3,services,services,course,father,1,2,0,no,yes,no,yes,yes,no,yes,5,3,4,1,1,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,12,13,13,MS,17,R,GT3,T,4,4,teacher,services,other,father,2,2,0,no,yes,yes,yes,yes,yes,no,4,3,3,1,2,5,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,12,11,MS,17,U,LE3,A,3,2,services,other,reputation,mother,2,2,0,no,no,no,yes,yes,no,yes,1,2,3,1,2,5,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,10,10,MS,18,U,LE3,T,1,1,other,services,home,father,2,1,0,no,no,no,no,yes,yes,yes,3,3,2,1,2,3,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,18,16,16,MS,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no,no,yes,yes,yes,no,5,3,2,1,1,4,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,13,13,MS,18,R,LE3,A,1,4,at_home,other,course,mother,3,2,0,no,no,no,yes,yes,no,yes,4,3,4,1,4,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,12,12,MS,18,R,LE3,T,1,1,at_home,other,other,mother,2,2,1,no,no,no,no,no,no,no,4,4,3,2,3,5,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,11,10,MS,18,U,GT3,T,3,3,services,services,other,mother,2,2,0,no,yes,no,yes,yes,yes,yes,4,3,2,1,3,3,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,16,15,15,MS,17,U,LE3,T,4,4,at_home,at_home,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,2,3,4,1,1,1,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,11,12,MS,17,R,GT3,T,1,2,other,services,course,father,2,2,0,no,no,no,no,yes,no,no,3,2,2,1,2,3,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,10,10,MS,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes,yes,yes,yes,no,no,3,3,4,2,4,3,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,13,13,MS,18,U,LE3,T,4,4,teacher,services,other,mother,2,3,0,no,no,yes,yes,yes,yes,yes,4,2,2,2,2,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,6,0,MS,17,R,GT3,T,1,1,other,services,reputation,mother,3,1,1,no,yes,yes,yes,yes,yes,yes,5,2,1,1,2,1,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,10,10,MS,18,U,GT3,T,2,3,at_home,services,course,father,2,1,0,no,yes,yes,yes,yes,yes,yes,5,2,3,1,2,4,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,14,12,11,MS,18,R,GT3,T,4,4,other,teacher,other,father,3,2,0,no,yes,yes,no,yes,yes,yes,3,2,2,4,2,5,10
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,7,7,9,MS,19,U,LE3,T,3,2,services,services,home,other,2,2,2,no,no,no,yes,yes,no,yes,3,2,2,1,1,3,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,12,12,MS,18,R,LE3,T,1,2,at_home,services,other,father,3,1,0,no,yes,yes,yes,no,yes,yes,4,3,3,2,3,3,3
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,13,11,11,MS,17,U,GT3,T,2,2,other,at_home,home,mother,1,3,0,no,no,no,yes,yes,no,yes,3,4,3,1,1,3,8
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,6,5,5,MS,17,R,GT3,T,1,2,other,other,course,mother,1,1,0,no,no,no,yes,yes,yes,no,3,5,5,1,3,1,14
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,19,18,19,MS,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no,no,no,yes,yes,yes,no,5,4,4,1,1,1,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,8,10,MS,18,R,GT3,T,1,1,other,other,home,mother,4,3,0,no,no,no,yes,yes,yes,no,4,3,2,1,2,4,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,15,14,15,MS,20,U,GT3,T,4,2,health,other,course,other,2,3,2,no,yes,yes,no,yes,yes,yes,5,4,3,1,1,3,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,8,9,10,MS,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,no,no,yes,yes,yes,yes,no,5,4,3,3,4,2,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,15,15,15,MS,18,U,GT3,T,3,3,other,other,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,4,1,3,1,2,1,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,10,10,MS,17,R,GT3,T,3,1,at_home,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,5,4,2,3,1,17
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,15,14,14,MS,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no,yes,no,yes,yes,no,3,2,4,1,4,2,4
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,7,6,7,MS,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,no,no,no,no,yes,yes,yes,4,4,3,1,3,5,5
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,11,11,10,MS,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no,no,yes,yes,yes,no,4,4,3,1,1,3,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,6,5,0,MS,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,no,no,no,yes,yes,no,no,4,3,2,1,3,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,6,5,5,MS,18,R,GT3,T,4,2,other,other,home,father,2,1,1,no,no,yes,yes,yes,no,no,5,4,3,4,3,3,14
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,9,10,MS,18,R,GT3,T,2,2,at_home,other,other,mother,2,3,0,no,no,yes,yes,yes,no,no,5,3,3,1,3,4,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,6,5,6,MS,18,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,0,no,yes,yes,yes,yes,yes,yes,4,4,3,2,2,5,7
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,7,5,0,MS,19,R,GT3,T,2,3,services,other,course,mother,1,3,1,no,no,no,no,yes,yes,no,5,4,2,1,2,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,7,9,8,MS,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes,yes,yes,yes,yes,no,4,3,4,1,1,1,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,6,5,0,MS,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,no,no,no,yes,yes,no,no,1,1,1,1,1,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,9,9,9,MS,20,U,LE3,A,2,2,services,services,course,other,1,2,2,no,yes,yes,yes,yes,no,no,5,5,4,4,5,4,11
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,14,16,16,MS,17,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,no,yes,yes,no,2,4,5,3,4,2,3
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,8,7,MS,21,R,GT3,T,1,1,other,other,course,other,1,1,3,no,no,no,no,yes,no,no,5,5,3,3,3,3,3
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,12,10,MS,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no,no,no,yes,yes,no,4,4,1,3,4,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,8,9,9,MS,19,U,LE3,T,1,1,other,at_home,course,father,1,1,0,no,no,no,yes,yes,yes,no,3,2,3,3,3,5,5
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,0,11,11,GP,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,yes,yes,no,no,4,3,4,1,1,3,4
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,9,11,11,GP,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,3,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,12,13,12,GP,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,yes,yes,yes,no,4,3,2,2,3,3,6
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,14,14,14,GP,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,2,1,1,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,11,13,13,GP,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,yes,yes,no,no,4,3,2,1,2,5,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,12,12,13,GP,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,4,2,1,2,5,6
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,13,12,13,GP,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,10,13,13,GP,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,yes,yes,no,no,4,1,4,1,1,1,2
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,15,16,17,GP,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,12,12,13,GP,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,5,5,1,1,1,5,0
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,no,Missing,Missing,Missing,Missing,Missing,Missing,14,14,14,GP,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,3,3,3,1,2,2,2
Missing,F,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,10,12,13,GP,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,no,5,2,2,1,1,4,0
Missing,M,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,yes,Missing,Missing,Missing,Missing,Missing,Missing,12,13,12,GP,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,no,4,3,3,1,3,5,0
